filepath,object_raw,object_normalized,date_token
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.000.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.001.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.002.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.003.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.004.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.005.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.006.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.007.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.008.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.009.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.010.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.011.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.012.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.013.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.014.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.015.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.016.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.017.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.018.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.019.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.020.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.021.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.022.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.023.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.024.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.025.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.026.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.027.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.028.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.029.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.030.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.031.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.032.fits.gz,flat,FLAT,
