object,night,filter,source_file,output_file,bias_source,flat_source
FOCUS04,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110122.035.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110122/20110122.035.fits.gz,night-specific,night-specific
FOCUS04,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110122.048.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110122/20110122.048.fits.gz,night-specific,night-specific
FOCUS04,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110122.061.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110122/20110122.061.fits.gz,night-specific,night-specific
FOCUS04,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110122.074.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110122/20110122.074.fits.gz,night-specific,night-specific
FOCUS04,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110122.087.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110122/20110122.087.fits.gz,night-specific,night-specific
FOCUS04,20110122,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110122.100.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110122/20110122.100.fits.gz,night-specific,night-specific
FOCUS04,20110123,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110123.025.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110123/20110123.025.fits.gz,night-specific,GLOBAL FALLBACK
FOCUS04,20110123,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110123.038.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110123/20110123.038.fits.gz,night-specific,GLOBAL FALLBACK
FOCUS04,20110123,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110123.051.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110123/20110123.051.fits.gz,night-specific,GLOBAL FALLBACK
FOCUS04,20110123,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110123.064.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110123/20110123.064.fits.gz,night-specific,GLOBAL FALLBACK
FOCUS04,20110123,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110123.077.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110123/20110123.077.fits.gz,night-specific,GLOBAL FALLBACK
FOCUS04,20110124,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110124.043.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110124/20110124.043.fits.gz,night-specific,GLOBAL FALLBACK
FOCUS04,20110124,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110124.056.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110124/20110124.056.fits.gz,night-specific,GLOBAL FALLBACK
FOCUS04,20110124,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110124.069.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110124/20110124.069.fits.gz,night-specific,GLOBAL FALLBACK
FOCUS04,20110124,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110124.082.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110124/20110124.082.fits.gz,night-specific,GLOBAL FALLBACK
FOCUS04,20110124,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110124.095.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110124/20110124.095.fits.gz,night-specific,GLOBAL FALLBACK
FOCUS04,20110124,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110124.108.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110124/20110124.108.fits.gz,night-specific,GLOBAL FALLBACK
FOCUS04,20110125,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110125.043.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110125/20110125.043.fits.gz,night-specific,GLOBAL FALLBACK
FOCUS04,20110125,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110125.056.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110125/20110125.056.fits.gz,night-specific,GLOBAL FALLBACK
FOCUS04,20110125,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110125.069.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110125/20110125.069.fits.gz,night-specific,GLOBAL FALLBACK
FOCUS04,20110125,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110125.082.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110125/20110125.082.fits.gz,night-specific,GLOBAL FALLBACK
FOCUS04,20110125,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110125.095.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110125/20110125.095.fits.gz,night-specific,GLOBAL FALLBACK
FOCUS04,20110125,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110125.108.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110125/20110125.108.fits.gz,night-specific,GLOBAL FALLBACK
FOCUS04,20110315,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110315.045.fits,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110315/20110315.045.fits,GLOBAL FALLBACK,GLOBAL FALLBACK
FOCUS04,20110315,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110315.047.fits,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110315/20110315.047.fits,GLOBAL FALLBACK,GLOBAL FALLBACK
FOCUS04,20110315,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110315.060.fits,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110315/20110315.060.fits,GLOBAL FALLBACK,GLOBAL FALLBACK
FOCUS04,20110316,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110316.040.fits,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110316/20110316.040.fits,night-specific,GLOBAL FALLBACK
FOCUS04,20110316,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20110316.053.fits,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20110316/20110316.053.fits,night-specific,GLOBAL FALLBACK
FOCUS04,20111113,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20111113.035.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20111113/20111113.035.fits.gz,night-specific,GLOBAL FALLBACK
FOCUS04,20111113,open,/Volumes/starstuff/Frames/NURO_2011/sorted/FOCUS04/20111113.048.fits.gz,/Volumes/starstuff/Frames/NURO_2011/calibrated/FOCUS04/20111113/20111113.048.fits.gz,night-specific,GLOBAL FALLBACK
