filepath,object_raw,object_normalized,date_token
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.045.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.046.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.047.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.048.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.049.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.050.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.051.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.052.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.053.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.054.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.055.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.056.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.057.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.058.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.059.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.060.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.061.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.062.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.063.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.064.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.118.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.119.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.120.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.121.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.122.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.123.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.124.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.125.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.126.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.158.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.159.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.160.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.161.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.162.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.163.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.164.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.165.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.166.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.184.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.185.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.186.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.187.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.188.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.189.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.190.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.191.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.192.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.210.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.211.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.212.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.213.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.214.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.219.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.220.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.225.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.226.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.234.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.235.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.236.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.237.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.238.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.239.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.240.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.244.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.245.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.252.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.253.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.254.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.255.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.256.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.257.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.258.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.261.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.262.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.276.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.277.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.278.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.279.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.280.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.291.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.292.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.295.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.296.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.298.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.299.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.300.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.301.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.302.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.310.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.311.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.317.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.318.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.319.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.320.fits,bias,BIAS,
